url,label,class
0-0-0-0-0-0-0-0-0-0-0-0-0-18-0-0-0-0-0-0-0-0-0-0-0-0-0.info,spam,2
0-0-0-0-0-0-0-0-0-0-0-0-0-33-0-0-0-0-0-0-0-0-0-0-0-0-0.info,spam,2
0-1w-05.net,spam,2
0-as69vh7k2.biz,spam,2
001-accbilling.com,spam,2
001linker.net,spam,2
0034ufow.com,spam,2
006td.com,spam,2
008sjw36.tk,spam,2
00hotmlsecure.live,spam,2
01aj78cz5spx-9n3.com,spam,2
01v8-9uvm.com,spam,2
02-z7x68frwq4o3e.com,spam,2
02192020.com,spam,2
03b-9zf.com,spam,2
03ty.com,spam,2
0571xbyy.com,spam,2
05werqqfsfgsdgdthg.com,spam,2
06v1wmp.com,spam,2
06ykuiiuujrvebhyny.com,spam,2
071282sales024911.tk,spam,2
0740nxkw8z.space,spam,2
07gmail.com,spam,2
07m8opiolryetwwder.com,spam,2
08accountjs.us,spam,2
08approvaljs.us,spam,2
08argumentjs.us,spam,2
08birthjs.us,spam,2
08brotherrb.us,spam,2
08cheeksjs.us,spam,2
08disgustrb.us,spam,2
08judgerb.us,spam,2
08monitorrjb.us,spam,2
08n2zxp-xow.com,spam,2
08ratejs.us,spam,2
08storyjs.us,spam,2
08tastejs.us,spam,2
08windjs.us,spam,2
08yyugrth5oriorutv.com,spam,2
08z1-1h.net,spam,2
0900259.com,spam,2
0900582.com,spam,2
0900693.com,spam,2
0900704.com,spam,2
0900815.com,spam,2
0901360.com,spam,2
0901704.com,spam,2
0901815.com,spam,2
0901926.com,spam,2
0902471.com,spam,2
0902704.com,spam,2
0902815.com,spam,2
0902926.com,spam,2
0903037.com,spam,2
0903148.com,spam,2
0903582.com,spam,2
0903815.com,spam,2
0903926.com,spam,2
0904037.com,spam,2
0904148.com,spam,2
0904693.com,spam,2
0904926.com,spam,2
0905037.com,spam,2
0905148.com,spam,2
0905259.com,spam,2
0905360.com,spam,2
0905704.com,spam,2
0906148.com,spam,2
0906259.com,spam,2
0906360.com,spam,2
0906471.com,spam,2
0906815.com,spam,2
0907259.com,spam,2
0907360.com,spam,2
0907471.com,spam,2
0907926.com,spam,2
0908037.com,spam,2
0908360.com,spam,2
0908471.com,spam,2
0908582.com,spam,2
0908693.com,spam,2
0909148.com,spam,2
0909471.com,spam,2
0909582.com,spam,2
0909693.com,spam,2
0909704.com,spam,2
0918amazing.us,spam,2
0918big.us,spam,2
0918instructive.us,spam,2
0918unusual.us,spam,2
09bonkerssept.us,spam,2
09boogersept.us,spam,2
09cheesegreat.us,spam,2
09doppelgangersept.icu,spam,2
09fartsept.us,spam,2
09hairy.fun,spam,2
09jigglysept.us,spam,2
09m4y2013.co.za,spam,2
09vnvmbnrfqwiofjqd.com,spam,2
0a-0vxs7.com,spam,2
0a-gae0-g.com,spam,2
0a8.ru,spam,2
0akley.cc,spam,2
0akn6.tk,spam,2
0awe-rio.com,spam,2
0b30qo8dhp.biz,spam,2
0d3vx.com,spam,2
0dbs.com,spam,2
0dkft.tk,spam,2
0eeht.tk,spam,2
0ejc7l-rc7.tokyo,spam,2
0euros.fr,spam,2
0f3w5k.jp,spam,2
0f6p2zse.co,spam,2
0fhef.tk,spam,2
0fl0aqti3bywd3aq.shop,spam,2
0g4h4.tk,spam,2
0gfvmvt81p7mniks.shop,spam,2
0gjwaoi.com,spam,2
0gllh.tk,spam,2
0gx8n.com,spam,2
0hj.com.br,spam,2
0j9.ru,spam,2
0joinwhere6.cricket,spam,2
0jsms.com,spam,2
0k4.ru,spam,2
0krwgfh-2zk.com,spam,2
0m3.ru,spam,2
0m4.ru,spam,2
0m7.ru,spam,2
0nlinestore.com,spam,2
0nltwc-pow.com,spam,2
0nofds9z2mlpinb.ru,spam,2
0oeru47q.ryukyu,spam,2
0operjgirjvej.com,spam,2
0p2.ru,spam,2
0p3.ru,spam,2
0p417-v35zrwjk9.com,spam,2
0p8.ru,spam,2
0pv-60ya.net,spam,2
0q2.ru,spam,2
0q5.ru,spam,2
0q7.ru,spam,2
0q725pai9v.jp,spam,2
0r4s5f-khx.com,spam,2
0r9.ru,spam,2
0setnone1.cricket,spam,2
0sneawz1r8v6n5yz.link,spam,2
0szov86-8qq.com,spam,2
0tw9re3.com,spam,2
0uo7u.tk,spam,2
0v7.ru,spam,2
0v8.ru,spam,2
0w2.ru,spam,2
0w4.ru,spam,2
0w5.ru,spam,2
0w6.ru,spam,2
0w7.ru,spam,2
0wk17ck.com,spam,2
0x6-zy.com,spam,2
0y5.ru,spam,2
0y7.ru,spam,2
0yi.ru,spam,2
0yj.ru,spam,2
0yn.ru,spam,2
0yoxbd9y3xya.biz,spam,2
0yp.ru,spam,2
0yq.ru,spam,2
0yr.ru,spam,2
0yt.ru,spam,2
0yv.ru,spam,2
0yw.ru,spam,2
0yz.ru,spam,2
0z6.ru,spam,2
0z8.ru,spam,2
0zf.ru,spam,2
0zg.ru,spam,2
0zw.ru,spam,2
1000paydayloanhere.com,spam,2
1000pills.it.pn,spam,2
1001-a.ro,spam,2
1001opticiens.net,spam,2
100bandklan.com,spam,2
100pills.cf,spam,2
100pills.it.pn,spam,2
100tab.ga,spam,2
100tipsadayh3alth.com,spam,2
101inks-today.com,spam,2
104.223.107.19,spam,2
104.223.170.43,spam,2
104.223.170.45,spam,2
107.179.84.189,spam,2
107.179.91.44,spam,2
107.182.16.126,spam,2
107.190.132.179,spam,2
107.191.50.161,spam,2
10august2016ppe.ro.im,spam,2
10brasil.net.br,spam,2
10may20thirteen.co.za,spam,2
10qorpwprj.com,spam,2
10widiaq.com,spam,2
10wrfetertget.com,spam,2
11135.site,spam,2
11195.site,spam,2
111scg.com,spam,2
112.74.128.229,spam,2
114.fm,spam,2
115.124.106.90,spam,2
1151.co,spam,2
11515151.tk,spam,2
116.255.242.164,spam,2
119.23.127.215,spam,2
119.23.133.147,spam,2
11eleven.us,spam,2
11gmail.com,spam,2
11gregereheha.com,spam,2
11staeskaisd.world,spam,2
11w.email,spam,2
120.24.215.25,spam,2
120.24.224.12,spam,2
120.25.57.210,spam,2
120.25.71.34,spam,2
120.25.86.58,spam,2
123-hp-com-envy5534.com,spam,2
123-solutions.fr,spam,2
123.207.90.190,spam,2
123411.vip,spam,2
123459.vip,spam,2
123aziende.com,spam,2
123extenze.com,spam,2
123meratol.com,spam,2
123pills.de.pn,spam,2
123postit.com,spam,2
123semenax.com,spam,2
123vigorelle.com,spam,2
123xyzn.top,spam,2
125ervquroais.com.br,spam,2
125jxq4.com,spam,2
12all.com.br,spam,2
12freshnews.in,spam,2
12qo7vfh5n34j.com,spam,2
12sdfggrturtu.com,spam,2
12seviqem.com.br,spam,2
131.255.141.2,spam,2
131.255.142.137,spam,2
1337cvv.xyz,spam,2
135cross.com,spam,2
137.74.137.255,spam,2
138638.com,spam,2
138bds.com,spam,2
13fbnnbmuk7l9.com,spam,2
13l2fdqgeo.net,spam,2
13rgb14t2b.trade,spam,2
142.54.177.58,spam,2
142.54.180.85,spam,2
14qeweteryruu.com,spam,2
150manken-toppadesu.com,spam,2
150mantoppa119.net,spam,2
150mm-japan.com,spam,2
152febwh0js.com,spam,2
15462014.we.bs,spam,2
159.122.114.23,spam,2
15balganagadhar.us,spam,2
15gmail.com,spam,2
15hea312e.net,spam,2
162.144.33.197,spam,2
169.53.42.212,spam,2
16fegmbibjiod.com,spam,2
16gmail.com,spam,2
170.239.86.210,spam,2
170115.we.bs,spam,2
1703e21ststreet.com,spam,2
1738go.com,spam,2
174.128.231.98,spam,2
174medicines.de.vu,spam,2
176790.com,spam,2
17fzff.com,spam,2
17gerttetvrrb.com,spam,2
17gmail.com,spam,2
17jop.com,spam,2
18022020.com,spam,2
1816soso.com,spam,2
184.172.106.114,spam,2
184.173.22.138,spam,2
184.173.22.139,spam,2
184.173.76.107,spam,2
184.173.76.108,spam,2
185.22.172.115,spam,2
185188.com,spam,2
185xn.com,spam,2
1888nyrents.com,spam,2
18eyejuly.bid,spam,2
18gmail.com,spam,2
18gupiao.com,spam,2
18headjuly.bid,spam,2
18imagejuly.bid,spam,2
18network.in,spam,2
18news.in,spam,2
18rweteytiuou.com,spam,2
191.7.107.185,spam,2
192.157.226.60,spam,2
192.157.230.151,spam,2
192.168.3.200,spam,2
192.75.36.122,spam,2
192elywj0hbf.com,spam,2
196tablets.tk,spam,2
198.136.60.228,spam,2
198.204.253.106,spam,2
198.246.47.27,spam,2
198.49.70.2,spam,2
198.49.76.185,spam,2
198.57.217.211,spam,2
199.201.125.33,spam,2
199.48.163.180,spam,2
1993gmail.com,spam,2
1994hotmail.com,spam,2
19bvbnfhwwtwy.com,spam,2
19d5.com,spam,2
19gmail.com,spam,2
19h-60v.com,spam,2
19ms5nriqheg.biz,spam,2
1a2n-f9.jp,spam,2
1ahtahgfnbka4ioltti8.com,spam,2
1august2016ppe.ro.im,spam,2
1bfghtjjyuiky.com,spam,2
1brv65s09t7o.com,spam,2
1buildyou8.cricket,spam,2
1c34kj4o7.newness8.club,spam,2
1cutthey2.cricket,spam,2
1cvvxcvg1v1sd6fs.com,spam,2
1d3f.com,spam,2
1da87f89ry7rtu4r.com,spam,2
1db-szajmaszk.com,spam,2
1dcm.com,spam,2
1dmp.com,spam,2
1ej19zqtoicw.com,spam,2
1encouragewhere1.cricket,spam,2
1fb1cb1j4uhj.com,spam,2
1fh1rb-66u.com,spam,2
1foldsomething1.cricket,spam,2
1fsdgjegir.com,spam,2
1fy76th.com,spam,2
